#	Id	Group	Name	Title	Icon	Desc	Level	ActorType	Race	Sex	MonsterType	Quality	Speed	BSpeed	BornEffect	DeadEffect	StagePos	StageScale	AIFeature	KillExp	LHP	ATK	DEF	CRI	BUR	LMP	VAM	HIT	DOG	BAF	VoiceAsset	ModelAsset	AiAtkDist	AiFollowDist	AiWaringDist	FindEnemyInterval	AIScript	SkillScript
60002	Actor	吊桥	光明议会	916	吊桥，这里是最强的存在，曾经打遍天下无敌手	1	5	0	0	0	0	0	0	0	0	0;0;0;	100	1111111111111111	0	100	1000	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role85	Model/Actor/60002	2	6	10	0.2	Text/AI/60002	Text/Actor/60002
60003	Actor	开关	光明议会	917	开关，这里是最强的存在，曾经打遍天下无敌手	1	5	0	0	0	0	0	0	0	0	0;0;0;	100	1111111111111111	0	100	1000	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role86	Model/Actor/60003	2	6	10	0.2	Text/AI/60003	Text/Actor/60003
60004	Actor	铁门	光明议会	918	铁门，这里是最强的存在，曾经打遍天下无敌手	1	5	0	0	0	0	0	0	0	0	0;0;0;	100	1111111111111111	0	100	1000	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role87	Model/Actor/60004	2	6	10	0.2	Text/AI/60004	Text/Actor/60004
60005	Actor	吊灯	光明议会	919	吊灯，这里是最强的存在，曾经打遍天下无敌手	1	5	0	0	0	0	0	0	0	0	0;0;0;	100	1111111111111111	0	100	1000	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role88	Model/Actor/60005	2	6	10	0.2	Text/AI/60005	Text/Actor/60005
60006	Actor	地刺	光明议会	920	地刺，这里是最强的存在，曾经打遍天下无敌手	1	5	0	0	0	0	0	0	0	0	0;0;0;	100	1111111111111111	0	100	1000	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role89	Model/Actor/60006	2	6	10	0.2	Text/AI/60006	Text/Actor/60006
80001	Actor	暗夜渡鸦	光明议会	921	暗夜渡鸦，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	1	6.25	5	0	0	0;0;0;	1	1111111111111111	0	520	30	10	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role90	Model/Pet/80001	2	6	10	0.2	Text/AI/80001	Text/Actor/80001
80002	Actor	冰火奇美拉	光明议会	922	冰火奇美拉，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	2	6.25	5	0	0	0;0;0;	1	1111111111111111	0	525	32	11	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role91	Model/Pet/80002	2	6	10	0.2	Text/AI/80002	Text/Actor/80002
80003	Actor	龙神之灵	光明议会	923	龙神之灵，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	3	6.25	5	0	0	0;0;0;	1	1111111111111111	0	530	34	12	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role92	Model/Pet/80003	2	6	10	0.2	Text/AI/80003	Text/Actor/80003
80004	Actor	蜥蜴飞龙	光明议会	901	蜥蜴飞龙，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	4	6.25	5	0	0	0;0;0;	1	1111111111111111	0	535	36	13	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role93	Model/Pet/80004	2	6	10	0.2	Text/AI/80004	Text/Actor/80004
80005	Actor	魑魅之灵	光明议会	902	魑魅之灵，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	5	6.25	5	0	0	0;0;0;	1	1111111111111111	0	540	38	14	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role94	Model/Pet/80005	2	6	10	0.2	Text/AI/80005	Text/Actor/80005
80006	Actor	改造半龙	光明议会	903	改造半龙，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	1	6.25	5	0	0	0;0;0;	1	1111111111111111	0	545	40	15	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role95	Model/Pet/80006	2	6	10	0.2	Text/AI/80006	Text/Actor/80006
80007	Actor	死亡之翼	光明议会	904	死亡之翼，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	2	6.25	5	0	0	0;0;0;	1	1111111111111111	0	550	42	16	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role96	Model/Pet/80007	2	6	10	0.2	Text/AI/80007	Text/Actor/80007
80008	Actor	青翼蝠王	光明议会	905	青翼蝠王，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	3	6.25	5	0	0	0;0;0;	1	1111111111111111	0	555	44	17	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role97	Model/Pet/80008	2	6	10	0.2	Text/AI/80008	Text/Actor/80008
80009	Actor	财神鸟	光明议会	906	财神鸟，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	4	6.25	5	0	0	0;0;0;	1	1111111111111111	0	560	46	18	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role98	Model/Pet/80009	2	6	10	0.2	Text/AI/80009	Text/Actor/80009
80010	Actor	狮鹫	光明议会	907	狮鹫，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	5	6.25	5	0	0	0;0;0;	1	1111111111111111	0	565	48	19	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role99	Model/Pet/80010	2	6	10	0.2	Text/AI/80010	Text/Actor/80010
80011	Actor	狮精	光明议会	908	狮精，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	3	6.25	5	0	0	0;0;0;	1	1111111111111111	0	570	50	20	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role100	Model/Pet/80011	2	6	10	0.2	Text/AI/80011	Text/Actor/80011
80012	Actor	饕餮	光明议会	909	饕餮，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	4	6.25	5	0	0	0;0;0;	1	1111111111111111	0	575	52	21	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role101	Model/Pet/80012	2	6	10	0.2	Text/AI/80012	Text/Actor/80012
80013	Actor	角鹰	光明议会	910	角鹰，这里是最强的存在，曾经打遍天下无敌手	1	3	0	0	0	5	6.25	5	0	0	0;0;0;	1	1111111111111111	0	580	54	22	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role102	Model/Pet/80013	2	6	10	0.2	Text/AI/80013	Text/Actor/80013
90001	Actor	吸血老妖	光明议会	902	吸血老妖，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	1	6.25	5	0	0	0;0;0;	1	1111111111111111	0	585	56	23	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role103	Model/Partner/90001	2	6	10	0.2	Text/AI/90001	Text/Actor/90001
90002	Actor	天鹅仙子	光明议会	903	天鹅仙子，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	2	6.25	5	0	0	0;0;0;	1	1111111111111111	0	590	58	24	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role104	Model/Partner/90002	2	6	10	0.2	Text/AI/90002	Text/Actor/90002
90003	Actor	无形之影	光明议会	907	无形之影，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	3	6.25	5	0	0	0;0;0;	1	1111111111111111	0	595	60	25	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role105	Model/Partner/90003	2	6	10	0.2	Text/AI/90003	Text/Actor/90003
90004	Actor	刀锋之影	光明议会	923	刀锋之影，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	4	6.25	5	0	0	0;0;0;	1	1111111111111111	0	600	62	26	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role106	Model/Partner/90004	2	6	10	0.2	Text/AI/90004	Text/Actor/90004
90005	Actor	圣光领主	光明议会	906	圣光领主，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	5	6.25	5	0	0	0;0;0;	1	1111111111111111	0	605	64	27	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role107	Model/Partner/90005	2	6	10	0.2	Text/AI/90005	Text/Actor/90005
90006	Actor	猫女加瓦	光明议会	911	猫女加瓦，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	1	6.25	5	0	0	0;0;0;	1	1111111111111111	0	610	66	28	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role108	Model/Partner/90006	2	6	10	0.2	Text/AI/90006	Text/Actor/90006
90007	Actor	猫女怒瓦	光明议会	918	猫女怒瓦，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	2	6.25	5	0	0	0;0;0;	1	1111111111111111	0	615	68	29	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role109	Model/Partner/90007	2	6	10	0.2	Text/AI/90007	Text/Actor/90007
90008	Actor	小萝莉	光明议会	919	小萝莉，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	3	6.25	5	0	0	0;0;0;	1	1111111111111111	0	620	70	30	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role110	Model/Partner/90008	2	6	10	0.2	Text/AI/90008	Text/Actor/90008
90009	Actor	火炮兰	光明议会	920	火炮兰，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	4	6.25	5	0	0	0;0;0;	1	1111111111111111	0	625	72	31	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role111	Model/Partner/90009	2	6	10	0.2	Text/AI/90009	Text/Actor/90009
90010	Actor	大块头	光明议会	915	大块头，这里是最强的存在，曾经打遍天下无敌手	1	6	0	0	0	5	6.25	5	0	0	0;0;0;	1	1111111111111111	0	630	74	32	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role112	Model/Partner/90010	2	6	10	0.2	Text/AI/90010	Text/Actor/90010
100001	Actor	冰霜巨龙	光明议会	902	冰霜巨龙，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	5	15	12	0	0	0;0;0;	1	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role113	Model/Mount/100001	2	6	10	0.2	Text/AI/100001	Text/Actor/100001
100002	Actor	黑色巨龙	光明议会	903	黑色巨龙，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	5	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role114	Model/Mount/100002	2	6	10	0.2	Text/AI/100002	Text/Actor/100002
100003	Actor	汗血宝马	光明议会	907	汗血宝马，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	4	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role115	Model/Mount/100003	2	6	10	0.2	Text/AI/100003	Text/Actor/100003
100004	Actor	熔岩马	光明议会	923	熔岩马，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	4	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role116	Model/Mount/100004	2	6	10	0.2	Text/AI/100004	Text/Actor/100004
100005	Actor	草泥马	光明议会	906	草泥马，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	3	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role117	Model/Mount/100005	2	6	10	0.2	Text/AI/100005	Text/Actor/100005
100006	Actor	霜牙巨象	光明议会	911	霜牙巨象，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	4	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role118	Model/Mount/100006	2	6	10	0.2	Text/AI/100006	Text/Actor/100006
100007	Actor	宝石猎豹	光明议会	918	宝石猎豹，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	3	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role119	Model/Mount/100007	2	6	10	0.2	Text/AI/100007	Text/Actor/100007
100008	Actor	巨头狮子	光明议会	919	巨头狮子，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	4	15	12	0	0	0;0;0;	3	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role120	Model/Mount/100008	2	6	10	0.2	Text/AI/100008	Text/Actor/100008
100009	Actor	装甲	光明议会	920	装甲，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	3	15	12	0	0	0;0;0;	4	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role121	Model/Mount/100009	2	6	10	0.2	Text/AI/100009	Text/Actor/100009
100010	Actor	暗刃豹	光明议会	915	暗刃豹，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	3	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role122	Model/Mount/100010	2	6	10	0.2	Text/AI/100010	Text/Actor/100010
100011	Actor	灰色幽狼	光明议会	921	灰色幽狼，这里是最强的存在，曾经打遍天下无敌手	1	4	0	0	0	2	15	12	0	0	0;0;0;	2	1111111111111111	0	1000	100	0	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role123	Model/Mount/100011	2	6	10	0.2	Text/AI/100011	Text/Actor/100011
